Item,Description,Quantity,Unit,Link,Price/usd
Arduino Uno,Microcontroller board - project brain,1,pcs,https://www.digikey.com/reference-designs/en/open-source-mcu-platforms/2481,12
HC-SR04 Ultrasonic Sensor Module,Detects objects within ~1 meter range,1,pcs,https://www.amazon.com/Stayhome-HC-SR04-Ultrasonic-Detector-Distance/dp/B07ST3D5J1/ref=sr_1_9?dib=eyJ2IjoiMSJ9.JzScU4Fzw-Ez-hMxO7U0flqouFyLtxrTP8yscSAYn7BJICaPw4t-Sbzsj2sLh3tTE7jY2YfbOCqwUmy2D3b9MmvYgGl6afD9VwsJ0BaS0feu7H7jv4JW6fIWoRA7u_zhC4SqNXdGJbQF7SECkaZ_JrXsUtJCWN53kJ57ggwVg_T79n1BMF5cTRwCaKk3GM1ZEZC5dJM1NdGrpuccY-u9x6RQhPjPS4E1K_4jHuNJ0Ek.YAzyLaFNn7uiaLu3p5ha0iAlW-FeUHTEvIFZzVNVu84&dib_tag=se&keywords=HC-SR04+ultrasonic+sensor&qid=1786095445&s=electronics&sr=1-9,3
Buzzer,Active buzzer for alarm output,1,pcs,https://www.amazon.com/UPEYXDQR-Active-Terminals-12x9-5mm-Electronic/dp/B0GQLYBHTQ/ref=sr_1_3?crid=3RI3MD4E7O0YB&dib=eyJ2IjoiMSJ9.hyFvQUSFpCYhopDOPzlFLRysAIWxgNGmatjHlqcIWdMUMGi5qIlv7u58wkvrq_xEHVR-WC0XSCQSn5COEHy4kFhdEQ5MUWi_BWjjYXaC3XF--LeNv91jHKI7EfGPfFtlOAVd-PLUFXyxYaalInYuemlHIHVvIFHtECot1-ZckuEGZ3MPqcDN2PkXcgA8uSomupKPc138WJS4QBpvUN3eJsoQtmaMLVjHuQsZ_V-_b-A.Z6WWYgyxz3r67InfMabZ9ul40DxQhpwZewHWtFffXqQ&dib_tag=se&keywords=active+buzzer&qid=1786095539&sprefix=actibuzzer%2Caps%2C479&sr=8-3,2
Solderless Breadboard,For connections,1,pcs,https://www.amazon.com/BOJACK-Values-Solderless-Breadboard-Flexible/dp/B08Y59P6D1/ref=sr_1_3?crid=3HQ1M0DBIN8SR&dib=eyJ2IjoiMSJ9.KciiFgkRrEIcipCiSmynt-2R4jsbqY2FnV-Qeo56beG-byARDzmVfQI4CDtGh3xi1VwA8YzL5Cz0my-pPS-BEoUGaUzJxb1oEgv08L5zKA4_tL7EFbF0da030aUYJZwq7a0bg1eDdl9rXcWk6SYTk9uUtBFrCIxuQRoP0x0D7BWw7kEZaSoFsBz9Q5d-7KKPeoV-n-hXfmMcfTnRfZ1gKnFUDdP6ysJGgxgqs1BGhcA.cBf1dGfTkSuCTspYB8HR5ZmiTvjOIyE2RsaGNgkaGFo&dib_tag=se&keywords=breadboard&qid=1786095628&sprefix=breadbo%2Caps%2C504&sr=8-3&th=1,5
Jumper Wires (Male-to-Male),Connects Arduino to breadboard components,6,pcs,https://www.amazon.com/Elegoo-EL-CP-004-Multicolored-Breadboard-arduino/dp/B01EV70C78/ref=sr_1_1?crid=1LM7NJKPT2QGP&dib=eyJ2IjoiMSJ9.tjHxIQLJsk16_0YVtUGN6S6iuxj4sNk3ew3kIjjT563F6ii_i5SGnTjyBAFWsS_C_J-UQ3ioVeEb4rUceQmkqyjWI5hIiky_6m3up5xuAolEcpIKZOa_Y6dk2xtCgvrUYmTLs16vQuysGYj5D9VjAvtz1NeW6gHnDnkRsu-msgQQXMVeJp7xXntKGV8j3qG5Ig-5F9fXi-taImAffbTMbSTPEEkotdccOSOkNGFkEx4.uJ_t2VxkNzCqPWCmUguQGXE5z6y_imUBAz4kTGSb2FE&dib_tag=se&keywords=jumper%2Bwires&qid=1786095670&sprefix=jumper%2Bw%2Caps%2C487&sr=8-1&th=1,7
USB Cable (Type A to B),Powers/programs the Arduino Uno,1,pcs,https://www.amazon.com/UGREEN-Printer-Scanner-Brother-Lexmark/dp/B00P0FO1P0/ref=sr_1_3?crid=2GUDP27PN81ZP&dib=eyJ2IjoiMSJ9.0pl8BL_1yUhugdKy06gDe9duKW_oiTjwM12QjXS6K8aXIfUogC1I8YEUrsv90V-WlAIW2IQ18WCliQCKY5K2OCTPfde5cT_RU5kW8PE2LTSgazJa8Eocdc3PL2lHVYASwKgmExToLpWSpmq1uw9daP47NpHOHU7tCuK2rLuV0IXaESprkP4TKttjFx_-IqYYkrzg4miSl_t4vKF7ys2FvqD647psGkROMBWLtpRx86c.d6cJrDe0en64YjyzWxTkP5kxtftxOf0xrjoMd_pJ1nQ&dib_tag=se&keywords=usb%2Bcable%2Ba%2Bto%2Bb&qid=1786095712&sprefix=usb%2Bcable%2Ba%2Bto%2Caps%2C497&sr=8-3&th=1,6
